document,text,label,text_len_words,label_id
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","Subject to the terms and conditions of this Agreement, the Company hereby grants to Allscripts a non-exclusive, royalty-free, irrevocable , non-transferable (except in accordance with Section 28.4), sublicensable (through multiple levels of sublicensees), fully paid-up right and license under all of the Company's Intellectual Property to access, use, reproduce, perform, display, transmit, demonstrate, test, operate, port, configure, distribute, and make derivative works of the Documentation, Company Marketing Materials and Allscripts Marketing Materials, in whole or in part, throughout the Territory, for any purpose consistent with Section 8.1, [***].",Affiliate License-Licensee,88,0
ParatekPharmaceuticalsInc_20170505_10-KA_EX-10.29_10323872_EX-10.29_Outsourcing Agreement,"Customer or its designees shall, within a period of [* * *] after the date of physical receipt of any shipment of Product from Supplier, inspect the Product for any shortages or any defects or deviations of the Product",Warranty Duration,39,40
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"Closing of the subscription, purchase and sale shall be at such place and time as the Parties agree but not more than ten (10) days from delivery of the Financing Election.",Rofr/Rofo/Rofn,31,33
ALLIANCEBANCORPINCOFPENNSYLVANIA_10_18_2006-EX-1.2-AGENCY AGREEMENT,"Alliance Bancorp, Inc. of Pennsylvania",Parties,5,28
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement,"Notwithstanding any provision herein or in the ISDA Form to the contrary, the obligations of Counterparty hereunder are limited recourse obligations of Counterparty, payable solely from the Trust Estate (as defined in the Pooling and Servicing Agreement) and the proceeds thereof to satisfy Counterparty's obligations hereunder.",Cap On Liability,46,5
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,"If we do not exercise this right of first refusal, you may accept the offer, subject to our prior written approval, as provided in Paragraph XVIII hereof, provided that if such offer is not so accepted within six (6) months of the date thereof, we will again have the right of first refusal herein described.",Rofr/Rofo/Rofn,55,33
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement,". Without limiting the generality of the foregoing, upon any termination of this Agreement by either Party in accordance with its terms (or otherwise), in no event shall STAAR be required to pay to Distributor any ""good will"" or other payment of any nature or kind based on the sales, business development or other activities of Distributor during the term of this Agreement.",Cap On Liability,63,5
Microgenics Corporation - Collaborative Development and Commercialization Agreement,"and records upon reasonable notice (which shall be no less than [***] ([***]) calendar days prior notice, unless a shorter period is mutually agreed to by the Parties), and during normal business hours.",Audit Rights,33,4
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","Armstrong Flooring, Inc.",Parties,3,28
XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),"XENCOR hereby grants to BII and BII herewith accepts a non exclusive, worldwide, irrevocable, sublicensable (in several cascades), perpetual, royalty-free/fully paid up license under the XENCOR Intellectual Property to the extent it is generally applicable to the manufacturing of biopharmaceutical products, handling",Irrevocable Or Perpetual License,42,16
"PHREESIA,INC_05_28_2019-EX-10.18-STRATEGIC ALLIANCE AGREEMENT","(b) the marketing, promoting, distributing, reselling, or provision of the Installed Software or the Subscription Software Services, directly or through Allscripts Resellers or Partnering Organizations, in accordance with the terms and conditions of this Agreement; (c) enabling Allscripts products and services to interface or otherwise integrate, interact, or interoperate with the Installed Software and the Subscription Software Services , including performing any integration or interface development efforts with respect to the Installed Software, Subscription Software Services or any integrated product with any Allscripts products and services, or internally testing, evaluating, and performing validation and verification with respect to the Installed Software, Subscription Software Services or any integrated product with any Allscripts products and services (it being understood that the foregoing activities will not affect the Company's representations and warranties in Section 21); (d) reselling Subscriptions (through multiple levels of sublicensees) to (i) Sublicensed Customers pursuant to Customer Agreements in accordance with this Agreement and (ii) Allscripts' Affiliates or to Allscripts Resellers or Partnering Organizations (subject to Sections 2.4 and 2.5) to carry out any of the purposes set forth in this Agreement; (e) creating backups and other copies of the Installed Software solely to the extent necessary to perform its obligations hereunder in the ordinary course of business; (f) managing, operating, and hosting (i) any Installed Software, (ii) the Allscripts products that will interface with the Installed Software or Subscription Software Services on behalf of Sublicensed Customers and (iii) authorizing its Sublicensed Customers, Allscripts Resellers or Partnering Organizations to do the same; (g) generating, printing, copying, downloading, and storing all Data and other displays and output, as may result from any execution or other use of the Subscription Software Services and authorizing its Sublicensed Customers, Allscripts Resellers or Partnering Organizations to do the same; and (h) all other purposes reasonably necessary to carry out any of the foregoing.",License Grant,308,18
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,"This Agreement will take effect on the Effective Date and remain in effect for a period of 1 year; provided, that Sections 2 and 3 level shall terminate promptly upon (a) any action or omission by Client or any of its customers which constitutes a breach of or default by TrueLink under any System Agreement or Credit Repository Agreement, which breach or default has either not been cured or cannot be cured within the applicable cure period and the consequences of which is that TrueLink will lose material rights it had pursuant to said Agreements or (b) any violations or breach by Client of Sections 8a - 8c.",Expiration Date,108,12
AMBASSADOREYEWEARGROUPINC_11_17_1997-EX-10.28-ENDORSEMENT AGREEMENT,KI will participate in the production of up to one (1) product information/sales video per License Year during the period of this Agreement on behalf of Diplomat at a mutually acceptable time and place.,Volume Restriction,34,39
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,"Subject to subsections (i)-(iii) of this Section 5.1(a), each Party agrees that prior to the date that is six (6) months after the Effective Time (""Delivery Date""), it will deliver possession of any Tangible/Intangible Information of the other Party that is in its possession or control to the other Party, without retaining any copies.",Post-Termination Services,54,29
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement,"Neither Party shall assign or transfer this Agreement or its rights hereunder without first obtaining the consent of the other, in writing, which consent shall not unreasonably be withheld or delayed.",Anti-Assignment,31,3
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT","With respect to any Intellectual Property developed by BLI or its Affiliates in collaboration or on behalf of a Third Party during the Term of this Agreement that is [***] for (a) [***] or (b) [***], with respect to each, BLI and its Affiliates shall [***] to [***] that BLI or its Affiliates Control such Intellectual Property so that BLI may grant a license to Ginkgo with respect to such Intellectual Property as set forth in Section 9.1 (Grants to Ginkgo).",Affiliate License-Licensor,81,1
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,"If Parent enters an agreement to transfer the license granted to it under this Section 3.1 in connection with any sale or transfer of a Parent business, then SpinCo and members of the SpinCo Group shall be made third party beneficiaries under such transfer agreement to enforce breaches of the license",Change Of Control,51,6
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT,This Agreement shall be governed by and construed in accordance with the laws of the State of Florida.,Governing Law,18,13
KALLOINC_11_03_2011-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"Agent agrees that it shall take no action inconsistent with Kallo ownership of the Trademarks and agrees not to challenge Kallo's rights in or attempt to register any of the Trademarks, or any other name or mark owned or used by Kallo or any mark confusingly similar thereto.",Covenant Not To Sue,48,8
SoupmanInc_20150814_8-K_EX-10.1_9230148_EX-10.1_Franchise Agreement1,We will not grant other franchises nor establish our own Unit Franchises within the Master Territory during the term of this Agreement unless you do not meet the Minimum Development Quota.,Exclusivity,31,11
"VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT",". Each Party shall provide the other with written notice at least [***] days prior to the cancellation, non renewal or material change in such insurance.",Insurance,26,14
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement,"Unless earlier terminated in accordance with the terms of this Article XVI, this IP Agreement and the licenses granted herein will continue in effect from the Effective Date until the expiration of the last to expire of the Patents and any additional period of time thereafter that any of the Patents remain enforceable such as in the United States where a party can sue for infringement after a patent expires and seek damages for any infringement of the patent during the six years immediately preceding the filing of a suit for infringement.",Expiration Date,92,12
"TALLGRASSENERGY,LP_02_20_2020-EX-99.26-JOINT FILING AGREEMENT",BLACKSTONE INFRASTRUCTURE ASSOCIATES L.P.,Parties,4,28
ZEBRATECHNOLOGIESCORP_04_16_2014-EX-10.1-INTELLECTUAL PROPERTY AGREEMENT,"distributed, offered for sale, sold, resold, supported, otherwise under development, or provided, as of the applicable Closing Date, by the Seller Entities in connection with the Business and to practice any methods, processes, and procedures in connection therewith, and in each case of clauses (A) and (B), including with respect to all Derivative Works and natural evolutions thereof; and (ii) to make, have made, use, sell, offer for sale, import, and otherwise dispose of Smart Sensing Network Equipment.",Non-Transferable License,78,26
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1,"DISTRIBUTOR AGREES THAT, IN THE EVENT OF ANY TERMINATION OF THIS AGREEMENT, IT SHALL HAVE NO RIGHTS TO DAMAGES OR INDEMNIFICATION OF ANY NATURE, SPECIFICALLY INCLUDING COMMERCIAL SEVERANCE PAY, WHETHER BY WAY OF LOSS OF FUTURE PROFITS, EXPENDITURES FOR PROMOTION OF ANY PRODUCT, OR OTHER COMMITMENTS IN CONNECTION WITH THE BUSINESS AND GOOD WILL OF DISTRIBUTOR.",Cap On Liability,56,5
"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",PPI hereby grants to EKR a royalty free and exclusive license (with the right to sublicense) to use the Trademarks in the Territory solely in connection with the exercise of the Distribution Rights in the Territory during the Term (and thereafter as set forth in Section 17.4) and EKR shall market and sell the Products under the Trademarks.,Exclusivity,58,11
PRIMEENERGYRESOURCESCORP_04_02_2007-EX-10.28-COMPLETION AND LIQUIDITY MAINTENANCE AGREEMENT,"This Agreement shad be deemed a contract made under and shall be construed in accordance with and governed by the laws ofthe State ofTexas and that actions arising out ofthis Agreement may be litigated in courts having situs in Harris County, Texas.",Governing Law,42,13
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,"For so long as Rogers is required by Applicable Law to pay copyright royalties relating to Licensed Programs hereunder, Licensor shall reimburse Rogers for 50% of any such royalties actually paid by Rogers, calculated on a rolling basis during the Term and payable monthly.",Revenue/Profit Sharing,44,32
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,"This Agreement is governed by the laws of the State of Texas, without regard to the conflict of laws provisions thereof.",Governing Law,21,13
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,"NCM shall not engage in any conduct which may place Network Affiliate or any Network Affiliate Mark in a negative light or context, and shall not represent that it owns or has any interest in any Network Affiliate Mark other than as expressly granted herein, nor shall it contest or assist others in contesting the title or any rights of Network Affiliate (or any other owner) in and to any Network Affiliate Mark.",Covenant Not To Sue,73,8
"SPOKHOLDINGS,INC_06_19_2020-EX-10.1-COOPERATION AGREEMENT","Spôk Holdings, Inc.",Parties,3,28
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement,"Unless otherwise approved by Party A, in the event of parcel transfer due to Party B's vehicle delay, Party B shall pay liquidated damages to Party A at the standard rate of RMB500 per trip on the first working day, RMB1,000 per trip on the second working day and RMB2,000 per trip on the third working day (based on the time records on the parcel transfer documents) and such liquidated damages will be deducted from the current month's freight.",Liquidated Damages,79,19
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,"CURO MANAGEMENT, LLC",Parties,3,28
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT,"If Astellas detects at any time any defect in the Lead Compound which has not been found through Astellas' inspection, it shall notify FG to that effect within [ * ] of the discovery of such defect, and the procedures set forth above in this Section 12.7 shall be applied to such defective Lead Compound, provided, that FG shall only be responsible to pay for costs of defects that are the result of FG's gross negligence or willful misconduct.",Warranty Duration,79,40
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT","IN NO EVENT SHALL EITHER PARTY BE LIABLE TO EACH OTHER OR ANY OTHER ENTITY FOR ANY SPECIAL, CONSEQUENTIAL, INCIDENTAL OR INDIRECT DAMAGES, HOWEVER CAUSED, ON ANY THEORY OF LIABILITY, AND NOTWITHSTANDING ANY FAILURE OF ESSENTIAL PURPOSE OF ANY LIMITED REMEDY.",Cap On Liability,41,5
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT","Logo Size: The minimum logo size is 1"" or 25mm.",Minimum Commitment,10,20
"MEETGROUP,INC_06_29_2017-EX-10.1-COOPERATION AGREEMENT","The Company hereby agrees that, until the earlier of (i) the expiration of the Standstill Period or (ii) any material breach of this Agreement by an Investor (provided that such Investor shall have three (3) business days following written notice from the Company of any material breach to remedy such material breach if capable of remedy), neither it nor any of its Affiliates will, and it will cause each of its Affiliates not to, directly or indirectly, publicly make, express, transmit, speak, write, verbalize or otherwise publicly communicate in any way (or cause, further, assist, solicit, encourage, support or participate in any of the foregoing), any remark, comment, message, information, declaration, communication or other statement of any kind, whether verbal or in writing, that might reasonably be construed to be derogatory or critical of, or negative toward, the Investors or their Affiliates or Associates or any of their agents or representatives (collectively, the ""Investor Agents""), or that reveals, discloses, incorporates, is based upon, discusses, includes or otherwise involves any confidential or proprietary information of any Investor or its Affiliates or Associates, or to malign, harm, disparage, defame or damage the reputation or good name of any Investor, its business or any of the Investor Agents.",Non-Disparagement,205,25
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,"provided that such limitation of liability shall not apply to any liability that is the result of (i) gross negligence, fraud or willful misconduct of a Party, (ii) a Third Party Claim, (iii) the failure to pay the Service Fees (which amount shall not be included in calculating Owner's Maximum Liability), (iv) a claim of Owner against BE or Operator in the event of any breach, default or misrepresentation of any representation and warranty or covenant set forth in Section 8.2(e) or (v) a claim of Owner against BE or Operator under Section 2.8.",Uncapped Liability,94,37
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,(iii) Induce any person to leave his or her employment with Franchisee or Franchisor.,No-Solicit Of Employees,14,23
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,"For the avoidance of doubt, Licensor also grants to Licensee and its subsidiaries and affiliates a non-exclusive, worldwide royalty-free license for continued use of the Licensed Mark for the production and sale of inventory containing the Licensed Mark applied to such products during the Transition Period as set forth in section 8.2 of the Separation and Distribution Agreement and in Schedule 2 of this Agreement.",License Grant,65,18
"OASYSMOBILE,INC_07_05_2001-EX-10.17-OUTSOURCING AGREEMENT","This Agreement, and all matters arising out of or relating to this Agreement, shall be governed by the laws of the State of California.",Governing Law,24,13
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement","Bellicum will order Miltenyi Product in a defined number of units, subject to reasonable minimum order size requirements that may vary according to product type.",Minimum Commitment,25,20
PLAYAHOTELS_RESORTSNV_03_14_2017-EX-10.22-STRATEGIC ALLIANCE AGREEMENT (Hyatt Ziva Cancun),"Similarly, if a third party (who is not an affiliate of Playa) approaches Playa during the Development Term with a proposed offer or arrangement, which Playa desires to accept, under which Playa or its affiliate would manage an all- inclusive resort in the Market Area for that third party, and if that third party has not then already designated a brand under which that all-inclusive resort would operate, then Playa agrees to provide notice to Hyatt and introduce Hyatt to that third party for purposes of enabling Hyatt (at its option) to negotiate for the opportunity to provide that third party franchise rights to brand that resort as a Hyatt All-Inclusive Resort.",Rofr/Rofo/Rofn,112,33
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT ,"Except as set forth in this Section 11.8 or Section 2.3, and except for a Change of Control under Section 10.4(b)(7) that does not provide Monsanto termination rights under this Agreement, neither this Agreement nor any of the rights, interests, or obligations hereunder shall be transferred, delegated, or assigned by a party (by operation of law or otherwise) without the prior written consent of the other party.",Change Of Control,67,6
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT,"This Agreement shall commence on the ""Effective Date"" and shall continue for ten (10) Contract Years, unless terminated in accordance with the provisions of Section 6 of this Agreement or extended by renewal by written agreement of the Parties in accordance with the provisions of Section 13(o) of this Agreement (the ""Term"").",Expiration Date,52,12
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement","Subject to the terms and conditions of this Agreement, HEMISPHERX agrees to exclusively supply Product to SCIEN in the Territory with a minimum expiry of 6 months from the date of shipment.",Exclusivity,32,11
SPARKLINGSPRINGWATERHOLDINGSLTD_07_03_2002-EX-10.13-SOFTWARE LICENSE AND MAINTENANCE AGREEMENT,"Garman hereby grants to Sparkling, for the use of Sparkling and affiliated companies of Sparkling operating at Authorized Locations, a non-transferable and non-exclusive licence to use: (i) the Software, safely in executable object code format, at each AS400 at each of the Authorized Locations; and (ii) the Documentation.",Non-Transferable License,48,26
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement","IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY INCIDENTAL, SPECIAL OR CONSEQUENTIAL DAMAGES RESULTING FROM THE LICENSE GRANTED PURSUANT TO THIS AGREEMENT OR THE USE OR COMMERCIAL DEVELOPMENT OF PRODUCT.",Cap On Liability,32,5
AIRSPANNETWORKSINC_04_11_2000-EX-10.5-Distributor Agreement,"31st day of March, 2000",Effective Date,5,10
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,"This Agreement shall be governed by and construed in accordance with the laws of the State of Connecticut, U.S.A. without regard to its conflict of taws provision.",Governing Law,27,13
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,A Termination Event shall have occurred if:,Change Of Control,7,6
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,"1st day of January, 1996",Agreement Date,5,2
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,"From and after the Closing Date and until 5:00 pm Denver time on the date which is eighty (80) days from the Closing Date (the ""Option Expiration Date""), HOC shall have the option (the ""Option""), at its sole discretion, to subscribe for all, but not less than all, of an additional 4,330,000 Shares from the Company (the ""Additional Shares"") at a price of US$3.00 per share, or a total of US$12,990,000.",Rofr/Rofo/Rofn,71,33
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,"Rogers shall pay to Licensor a fee (the ""License Fee""), which shall be equal to fifty (50)% of Retail Revenues.",Revenue/Profit Sharing,20,32
SMITHELECTRICVEHICLESCORP_04_04_2012-EX-10.26-FLEET MAINTENANCE AGREEMENT,"The Fleet Size, in respect of Maintenance Charges calculations shall only be allowed to exceed this range following either a revision of Schedule One agreed by SEV and DCL or on the first day of a DCL Financial Year.",Volume Restriction,39,39
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,"During the term of this Agreement, and before any sponsorship or promotional activities are conducted under this Agreement, Company shall obtain and maintain at its expense, Commercial General Liability Insurance coverage with an insurance carrier with a Best's rating of A+.",Insurance,41,14
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement,"respect to a SHP1-SHP2 Dual Inhibitor during the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period. If (x) Sanofi does not provide a Notice of Interest within [***] or (y) Sanofi does provide a Notice of Interest within [***] but Parties have not entered into an agreement under which Sanofi is granted SHP1-SHP2 Dual Inhibitor License Rights prior to the expiration of the SHP1-SHP2 Dual Inhibitor Licensing Negotiation Period, then RevMed shall have no further obligations to Sanofi with respect to such SHP1-SHP2 Dual Inhibitor Products, and RevMed shall have the right to enter into negotiations and execute an agreement with a Third Party under which such Third Party is granted the SHP1-SHP2 Dual Inhibitor License Rights [***].",Rofr/Rofo/Rofn,116,33
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,ELECTRAMECCANICA VEHICLES CORP.,Parties,3,28
"Magenta Therapeutics, Inc. - Master Development and Manufacturing Agreement","Bachem Americas, Inc.",Parties,3,28
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,"Party A must ensure the waste heat power generation system of CDQ working hours no less than 7,200 hours/year.",Minimum Commitment,19,20
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT,IBM shall have the right at all reasonable times to audit and inspect the consigned Products.,Audit Rights,16,4
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1,"This Agreement shall commence as of the Effective Date and, unless earlier terminated as provided under this Agreement, shall terminate five (5) years following the date of launch of the first Website, but in no event later than February 28, 2013 (the ""Initial Term"").",Expiration Date,44,12
WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,"To the extent that Reseller or any Other Reseller is deemed to be the owner of all or any portion of the TouchStar Software, any Intellectual Property Rights of TouchStar or any Ancillary Software, or any improvements or intellectual property rights related thereto pursuant to applicable law, Reseller (i) hereby assigns exclusively to TouchStar all rights of Reseller in and to such Software and any improvements and intellectual property rights related thereto royalty-free and exclusively and (ii) shall include in any Other Reseller Agreement provision by which any Other Reseller grants to TouchStar an exclusive, perpetual, irrevocable, royalty-free assignment of all deemed rights of such Other Reseller in and to such TouchStar Software, Ancillary Software and Intellectual Property Rights.",Irrevocable Or Perpetual License,119,16
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT,SERVICE AGREEMENT FOR TRANSFER AGENT SERVICES,Document Name,6,9
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT,"The term of this Agreement shall commence on the Effective Date and end on November 30, 2014 (the ""Initial Term"").",Expiration Date,20,12
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT","Consultant also expressly agrees that he will not, without the prior written consent of the Company, either directly or indirectly on his own behalf, or in the service or on behalf of others, solicit, divert, or attempt to solicit or divert any customer, client, supplier or vendor of the Company for a period of five (5) years for any reason, and without limitation for the purpose of harming the Company or of obtaining and disseminating its trade secrets, or other proprietary and confidential information",No-Solicit Of Customers,84,22
NEONSYSTEMSINC_03_01_1999-EX-10.5-DISTRIBUTOR AGREEMENT_New,"Licensee shall pay to Licensor for each Licensed Product licensed to a Redistributor or a Customer a licensee fee equal to 50% of all revenues received (without deduction for value added tax, if any, but excluding any revenues for maintenance and support or upgrade services, which revenues are covered in paragraph (b) below) by Licensee under the Redistributor Agreement or Sublicense applicable to such Licensed Product.",Revenue/Profit Sharing,66,32
Monsanto Company - SECOND A_R EXCLUSIVE AGENCY AND MARKETING AGREEMENT ,"At all times, the Agent shall make available via computer and/or original documentation, to the members of the Global Support Team continuous access to the Roundup Records as appropriate on a need-to-know basis, such access shall include, but not be limited to, daily sales updates and additional financial reporting with such detail as Monsanto may reasonably request from time to time.",Audit Rights,61,4
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.,Governing Law,38,13
